ID, Accommodates:, Bathrooms:, Bedrooms:, Beds:, limpieza, extra, finde
5785036, 12, 2, 5, 6, €15, €25 / night after 4 guests, 
5799584, 1, 2, 1, 1, €5, , 
5848216, 3, 1, 1, 2, , €6 / night after the first guest, 
6359400, 8, 2, 3, 6, €70, €18 / night after 6 guests, €150 / night
6947961, 4, 1, 1, 2, , €10 / night after 2 guests, €120 / night
6962027, 6, 2, 4, 6, , €15 / night after 4 guests, 
7202213, 1, 1, 1, 1, , , 
7286180, 2, 1, 1, 2, , No Charge, €32 / night
7526957, 3, 1, 1, 3, , No Charge, €65 / night
7759167, 3, 1, 1, 2, , No Charge, 
8076303, 8, 1, 1, 8, , €15 / night after the first guest, 
8260557, 2, 1, Studio, 1, , No Charge, 
8303449, 5, 1, 2, 4, , No Charge, €90 / night
8439777, 8, 2, 3, 5, , €13 / night after 2 guests, 
8544232, 7, 1, 2, 6, , €9 / night after 4 guests, €128 / night
8648980, 4, 1, 1, 2, €14, €9 / night after 2 guests, €54 / night
8899996, 2, 1, 1, 1, , No Charge, 
8910699, 4, 1, 1, 4, , , 
8958076, 4, 1, 1, 2, , €12 / night after 2 guests, €40 / night
9274001, No longer available,,,,,, 
9405585, 5, 2, 3, 4, , No Charge, €105 / night
9469867, 3, 1, , 2, , €15 / night after 2 guests, €55 / night
9591092, 2, 1, 1, 2, , , €85 / night
9645118, 2, 1, 1, 2, €5, No Charge, 
9705797, 4, 1, 2, 2, €10, €25 / night after 2 guests, €55 / night
9893844, No longer available,,,,,, 
10013934, 6, 2, 2, 3, , No Charge, 
10057293, 6, 1.5, 3, 4, , No Charge, 
10129853, 6, 2, 2, 5, , No Charge, 
10130627, 4, 1, 1, 2, €20, €10 / night after 2 guests, 
10223181, 2, 2, 1, 2, , €25 / night after the first guest, 
10650016, 4, 1, 1, 4, , €15 / night after 2 guests, 
10665577, 5, 1.5, 3, 4, , €24 / night after 2 guests, €50 / night
10742869, 1, 1, 1, 1, €5, , €13 / night
10977854, 1, 1, 1, 1, , , 
11157511, 2, 1, Studio, 2, , No Charge, 
11419276, 4, 1, 3, 4, , No Charge, €50 / night
11856437, 2, 1, 1, 1, , No Charge, 
11963986, 4, 1, 2, 2, , No Charge, 
12049266, 3, 1, 1, 1, , €25 / night after 2 guests, 
12132725, No longer available,,,,,, 
12353011, 4, 1, 1, 1, , €10 / night after 2 guests, €90 / night
12360011, 5, 3, 1, 10, , No Charge, 
12361477, 2, 1, 1, 1, , No Charge, €55 / night
12374350, 4, 1, 3, 3, , No Charge, 
12408911, 3, 1, 1, 2, , €9 / night after the first guest, 
12466558, No longer available,,,,,, 
12476528, 6, 1, 3, 4, , €12 / night after 2 guests, €45 / night
12828089, 2, 1, 1, 1, , No Charge, 
12861752, 2, 2, 1, 1, €10, No Charge, €25 / night
13016413, 3, 1, 1, 1, , No Charge, 
13159086, 5, 1, 2, 2, , €20 / night after 2 guests, €100 / night
13263825, 2, 1, 1, 1, , €14 / night after the first guest, €26 / night
13388555, 2, 1, 1, 1, , No Charge, 
13391759, 2, 1, 1, 1, , €14 / night after the first guest, 
13469100, 4, 1, 1, 2, , €5 / night after 2 guests, €60 / night
13519502, 1, 1, 1, 1, €10, , 
13527952, 6, 1, 2, 4, , €20 / night after 2 guests, 
13662260, No longer available,,,,,, 
13770352, 3, 1, 1, 3, , €30 / night after the first guest, €50 / night
13805664, 2, 2, 1, 2, , €20 / night after the first guest, 
13956920, 6, 1, 2, 4, €10, €20 / night after 2 guests, €49 / night
14176716, 2, 1, 1, 1, , , 
14246744, 8, 1, 3, 6, , €20 / night after 7 guests, €199 / night
14528597, 2, 1, 1, 1, , No Charge, 
14539988, No longer available,,,,,, 
14540794, No longer available,,,,,, 
14592078, 3, 1, 1, 3, , €10 / night after 2 guests, 
14649085, 5, 1, 3, 4, , €8 / night after the first guest, 
14702395, 2, 1, 1, 1, , , 
14719479, 2, 1, 1, 1, , €10 / night after the first guest, 
14781867, 5, 1, 2, 3, , €15 / night after 2 guests, 
14836490, 6, 1, 2, 3, , €10 / night after 2 guests, €59 / night
14924370, 2, 1.5, 1, 2, , No Charge, 
14929085, 8, 1, 3, 7, €31, €25 / night after 2 guests, €77 / night
14929469, 2, 1, Studio, 1, €5, No Charge, €40 / night
14931450, 1, 2, 1, 1, , , 
14943996, 2, 1, 1, 1, , No Charge, €65 / night
14941757, 4, 1, 1, 1, €20, No Charge, €60 / night
14987238, 5, 1.5, 3, 5, €6, No Charge, 
14990025, 2, 1, 1, 2, , €5 / night after the first guest, 
15012275, 2, 1, 2, 4, , €10 / night after the first guest, 
15014045, 4, 1, 1, 1, €15, €5 / night after 2 guests, 
15171083, 6, 2, 3, 4, , No Charge, 
15186118, 6, 1.5, 3, 4, €25, €25 / night after 2 guests, €55 / night
15244998, 2, 1, 1, 1, €10, No Charge, €28 / night
15253366, 2, 1, 1, 1, €9, No Charge, €49 / night
15391620, 4, 1, 2, 2, €15, €5 / night after 2 guests, 
15394050, 6, 2, 2, 5, , , 
15458922, 7, 1, 3, 3, , No Charge, 
15476839, 3, 1, 1, 2, €5, €13 / night after 2 guests, €30 / night
15515407, No longer available,,,,,, 
15711452, 4, 1, 1, 2, €20, €15 / night after 2 guests, €65 / night
15895187, 2, 1, 1, 2, , , €60 / night
15963991, 1, 1, 1, 1, , , €28 / night
16059845, No longer available,,,,,, 
16585468, 4, 1, 1, 2, €20, €15 / night after 2 guests, 
16646086, 14, 4, 4, 7, €70, €15 / night after 8 guests, €260 / night
16853555, 1, 1, 1, 1, , , 
17244977, 3, 2, 3, 3, , No Charge, 
17947311, 2, 1, 1, 1, , No Charge, 
17957648, No longer available,,,,,, 
17956017, 2, 1.5, 1, 1, , No Charge, €21 / night
18014088, No longer available,,,,,, 
18093363, No longer available,,,,,, 
18460538, No longer available,,,,,, 
