ID, Accommodates:, Bathrooms:, Bedrooms:, Beds:, limpieza, extra, finde, precio, lat, lng, tipo
109470, 2, 1.5, 1, 1, , €5 / night after the first guest, , 24, 37.1795794935977, -3.59471722327281, private_room
113096, 3, 1, 1, 1, , €20 / night after 2 guests, , 65, 37.1795527835299, -3.59167895195854, entire_home
137757, 6, 2, 3, 4, , , , 179, 37.179766720357, -3.58982260239624, entire_home
15225704, 2, 1, 1, 1, €10, , €30 / night, 24, 37.1794660225438, -3.59068165539617, private_room
15282709, 2, 0.5, 1, 2, , €15 / night after the first guest, €33 / night, 30, 37.1784020589092, -3.6068838839507, private_room
15309229, 3, 1, 1, 3, €5, No Charge, , 55, 37.170843399043, -3.60019986568043, entire_home
15418621, 4, 1, 2, 4, , No Charge, , 110, 37.1727920210451, -3.59684532377482, entire_home
15436654, 2, 1, 1, 1, , No Charge, , 19, 37.1699017336814, -3.58657564976144, private_room
15585013, 1, 1, 1, 1, , , , 20, 37.187262654772, -3.62216116576033, private_room
15670329, 6, 1, 1, 6, , €20 / night after the first guest, , 19, 37.1812456210656, -3.59416227945579, shared_room
15670538, 4, 1, 2, 2, €10, €20 / night after 2 guests, , 50, 37.173308134223, -3.58999256490612, entire_home
15719070, 8, 1, 3, 5, , €20 / night after 7 guests, €179 / night, 89, 37.1728076138548, -3.60416924009242, entire_home
15753686, 1, 1, 1, 2, , , , 18, 37.1998095961006, -3.60394616156614, private_room
15786795, 1, 1, 1, 1, , , , 18, 37.1812138987518, -3.5926513552472, shared_room
15864637, 2, 1, 1, 1, , No Charge, , 21, 37.1780394237015, -3.60088056496624, private_room
15870777, 7, 2, 3, 4, €15, €20 / night after 2 guests, €35 / night, 30, 37.1724459392133, -3.60073789589064, private_room
16001580, 1, 1, 1, 1, €5, , , 12, 37.1715328250133, -3.59189983528081, private_room
16053995, 8, 3, 4, 5, €50, €20 / night after 6 guests, , 150, 37.1881838080595, -3.58816453775268, entire_home
16108587, 4, 1, 1, 3, , No Charge, , 96, 37.1709608816586, -3.600488382553, entire_home
16156816, 4, 1, 2, 2, , No Charge, €109 / night, 99, 37.1790179893685, -3.60072514495067, entire_home
16158229, 3, 1, 1, 3, €10, , €40 / night, 35, 37.177841860054, -3.59602720516309, private_room
16184154, 4, 1, 2, 3, €50, €15 / night after 2 guests, , 87, 37.1770501686441, -3.60090084824755, entire_home
16203993, 6, 1, 1, 3, €25, €15 / night after 2 guests, , 77, 37.1855099691211, -3.60515153751494, entire_home
16213190, 1, 1, 1, 1, , , , 20, 37.1690032536225, -3.60396523335206, private_room
16240984, 2, 1, 1, 1, , No Charge, €80 / night, 60, 37.1718898879383, -3.60053232956862, entire_home
16334456, 4, 1, 1, 3, €20, No Charge, €120 / night, 80, 37.1747996614197, -3.60007577234539, entire_home
16344744, 4, 1, 1, 2, €10, €10 / night after 2 guests, , 25, 37.1627575376523, -3.57993745327272, entire_home
16346547, 4, 1, 2, 2, , No Charge, €59 / night, 49, 37.1713649882847, -3.58540997484327, entire_home
16378923, 2, 1, 1, 1, , €5 / night after the first guest, €18 / night, 17, 37.1768266714003, -3.59916242192708, private_room
16420119, 2, 1, 1, 1, , €12 / night after the first guest, , 21, 37.1722064216877, -3.59220066512898, private_room
16577153, 2, 1, 3, 3, €23, No Charge, , 19, 37.1794702808889, -3.58872579219665, private_room
16613337, 2, 2, 1, 1, , €8 / night after the first guest, , 17, 37.1579186255743, -3.58705696641894, private_room
16690299, 4, 2, 2, 3, , €10 / night after 2 guests, €79 / night, 69, 37.1811351631712, -3.60224287669532, entire_home
16727774, 4, 1, 1, 2, €10, €10 / night after 2 guests, , 50, 37.1794561532208, -3.59211246359949, entire_home
16733515, 2, 1, 1, 1, , No Charge, , 30, 37.1673695370995, -3.60415350242597, private_room
16778908, 6, 1, 2, 4, €25, No Charge, €120 / night, 85, 37.1713546800148, -3.59997537709585, entire_home
16836835, 2, 2, 2, 2, , €14 / night after the first guest, , 15, 37.1790184902146, -3.61439579111577, private_room
16848996, 4, 1, 1, 1, €49, €15 / night after 3 guests, , 73, 37.1767142596481, -3.59557166625882, entire_home
16924868, 8, 1, 2, 4, , €10 / night after 2 guests, , 119, 37.178526673109, -3.60378060929182, entire_home
16994667, 3, 1, 1, 2, , €6 / night after 2 guests, , 31, 37.175930700439, -3.60745643491977, private_room
17012997, 4, 1, 2, 2, €30, No Charge, , 150, 37.1851508207397, -3.58846623534742, entire_home
17070774, 3, 1, 1, 2, , €10 / night after the first guest, €30 / night, 12, 37.1761582040883, -3.60326330581169, private_room
17233813, 4, 1, 1, 1, , €5 / night after 2 guests, , 82, 37.1777333176664, -3.60347702386935, entire_home
17343820, 4, 1, 2, 3, €15, No Charge, €95 / night, 60, 37.1723656751034, -3.60275709292101, entire_home
17351705, 4, 1, 1, 4, , €15 / night after 2 guests, €103 / night, 49, 37.1719543233836, -3.59327593702976, entire_home
17398344, 2, 1, Studio, 1, , No Charge, , 39, 37.1956553484318, -3.5803715986457, entire_home
17403781, 1, 1, 1, 1, , , , 21, 37.1755491128412, -3.60443182777458, private_room
17411760, 6, 2, 3, 4, €20, No Charge, €120 / night, 80, 37.1770098150232, -3.59751269989584, entire_home
17417070, 2, 1, 1, 1, , No Charge, €18 / night, 17, 37.2106700605006, -3.60893259692957, private_room
17418414, 4, 1, 1, 4, €20, No Charge, , 80, 37.1658657273209, -3.58889481892307, entire_home
17419183, 14, 5, 6, 12, €50, No Charge, €300 / night, 90, 37.1917633835933, -3.63724355604363, entire_home
17427460, 6, 1, 2, 5, , €15 / night after the first guest, €130 / night, 102, 37.1738262311211, -3.59443715603939, entire_home
17495464, 2, 1, 1, 1, €15, No Charge, , 22, 37.1708179406645, -3.58620137973289, private_room
17522628, 3, 1, 2, 2, €10, €15 / night after the first guest, , 50, 37.1773462655832, -3.59997404480492, entire_home
17558882, 2, 1, 1, 1, €7, €10 / night after the first guest, €39 / night, 29, 37.1974804470129, -3.61230700422234, private_room
17571645, 16+, 3, 4, 8, , €12 / night after 8 guests, €220 / night, 149, 37.1755012747281, -3.60271083274381, entire_home
17632476, 2, 1, 1, 1, , No Charge, , 24, 37.1719980401081, -3.60382265332403, private_room
17652593, 2, 1, 1, 1, , No Charge, , 43, 37.1773597821009, -3.60088920012948, entire_home
17664367, 1, 1, 1, 1, , , , 18, 37.1833265564344, -3.5922730129774, private_room
17697135, 2, 1, 1, 1, , , , 32, 37.179335703852, -3.59163010331747, entire_home
17698381, 5, 1, 2, 3, , €5 / night after 2 guests, , 50, 37.1794439016994, -3.60099045775237, entire_home
17733210, 2, 1, Studio, 1, €20, No Charge, , 50, 37.1766974874523, -3.60080699546472, entire_home
17775908, 6, 1, 2, 6, €25, No Charge, , 65, 37.169534584857, -3.60551148145882, entire_home
17816892, 4, 1, 1, 1, €10, No Charge, , 55, 37.1715244614426, -3.59739447467155, entire_home
17825691, 5, 1.5, 2, 4, €15, €10 / night after 4 guests, €90 / night, 74, 37.1872944134564, -3.60078977049444, entire_home
17828347, 4, 1, 2, 3, , No Charge, , 45, 37.1885902443017, -3.60234901191686, entire_home
17836622, 6, 1.5, 3, 4, , €10 / night after 4 guests, , 64, 37.1737132130303, -3.59354448135548, entire_home
17852217, 4, 1, 1, 1, €19, No Charge, €69 / night, 49, 37.1767077323395, -3.597792865656, entire_home
17854921, 4, 2, 2, 3, , No Charge, , 83, 37.168830462435, -3.60088569773988, entire_home
17855350, 3, 2, 1, 1, €5, €5 / night after the first guest, €27 / night, 24, 37.1708188280939, -3.59449973270311, private_room
17871104, 9, 3, 3, 4, €40, €65 / night after 2 guests, €180 / night, 162, 37.1807763174635, -3.58751199670808, entire_home
17877231, 2, 2, 1, 1, , €6 / night after the first guest, , 25, 37.1812672027702, -3.59421770274124, private_room
17892273, 2, 1, 1, 1, , No Charge, €24 / night, 18, 37.1711079942776, -3.59187078316358, private_room
17924600, 4, 1, 2, 3, , No Charge, , 95, 37.1701142290102, -3.5952102107271, entire_home
17942318, 4, 1, 1, 2, , €14 / night after 2 guests, , 60, 37.1814150124863, -3.59785757501425, entire_home
17971025, 4, 1.5, 2, 4, €35, No Charge, , 110, 37.1785071098332, -3.59616214224459, entire_home
17985093, 3, 1, 1, 2, , No Charge, , 80, 37.1796585363425, -3.59251247826971, entire_home
17986014, 2, 1, 1, 1, €10, €30 / night after the first guest, , 27, 37.1812750687559, -3.58880594637407, private_room
17988220, 4, 1, 1, 2, €20, €7 / night after 2 guests, €54 / night, 49, 37.1757417922521, -3.60418330839604, entire_home
17999903, 4, 1, 2, 3, €20, No Charge, €109 / night, 69, 37.1779495509337, -3.59960090122722, entire_home
18012942, 2, 1.5, 1, 1, , No Charge, €21 / night, 17, 37.1817191485867, -3.60096456796681, private_room
18014376, 2, 1, 1, 2, €20, , €37 / night, 25, 37.1619080639526, -3.59635355038075, private_room
18014504, 2, 1, 1, 1, , No Charge, , 35, 37.1769062224861, -3.59403218269848, private_room
18016442, 2, 1.5, 1, 1, , No Charge, €21 / night, 11, 37.1831018815888, -3.60060698369493, private_room
18046396, 5, 1, 1, 2, , €10 / night after 2 guests, , 58, 37.1850637062761, -3.60157196739468, entire_home
18047720, 6, 2, 2, 3, , €50 / night after 4 guests, , 200, 37.1454482543836, -3.59064464419163, entire_home
18052615, 2, 0.5, 1, 1, , No Charge, , 25, 37.1837003389586, -3.60045316112796, private_room
18059798, 1, 1, 1, 1, €30, , , 9, 37.1988887415144, -3.59853277471681, private_room
18081012, 5, 1.5, 4, 4, , No Charge, , 80, 37.1791775463969, -3.61216314113827, entire_home
18081808, 4, 2, 2, 2, , , , 60, 37.1566058924737, -3.57454753259717, entire_home
18091917, 2, 1, 1, 1, , No Charge, , 50, 37.1782282479691, -3.59821433338113, entire_home
18099144, 4, 1, 2, 2, €20, €20 / night after 3 guests, €69 / night, 59, 37.1857295776277, -3.60283887816698, entire_home
18099192, 2, 1, 2, 2, , €10 / night after the first guest, , 35, 37.179261729701, -3.58997236812354, private_room
18116499, 4, 1, 1, 1, , €10 / night after 2 guests, €49 / night, 49, 37.1725023108894, -3.59200322828618, entire_home
18138185, 4, 1, 1, 2, €20, €32 / night after 2 guests, €57 / night, 49, 37.1729130165155, -3.60527868316343, entire_home
18145661, 2, 1, Studio, 1, , No Charge, €73 / night, 45, 37.1767667066002, -3.60260451548503, entire_home
18146362, 4, 2, 3, 3, , No Charge, , 50, 37.1743523412385, -3.6092236140348, entire_home
18177894, 4, 2, 2, 3, €20, €10 / night after 2 guests, €69 / night, 59, 37.1779494393566, -3.60605062908168, entire_home
18319780, 2, 1, 1, 1, , No Charge, , 12, 37.1743643490988, -3.60923562492767, private_room
18374955, 6, 2, 3, 5, €30, €10 / night after 4 guests, €85 / night, 70, 37.176021878677, -3.60318897258734, entire_home
18385744, 8, 1, 3, 3, €20, No Charge, €80 / night, 50, 37.177260966442, -3.61051828729001, entire_home
18389790, 4, 1, 1, 3, , No Charge, , 44, 37.1745263304891, -3.60259121820719, entire_home
33116, 10, 2, 4, 8, €20, €25 / night after the first guest, €35 / night, 25, 37.1838069396815, -3.58801604341702, entire_home
65305, 4, 1, 1, 3, , €5 / night after 2 guests, , 30, 37.1777510240399, -3.59641118774451, entire_home
65961, 3, 1, 1, 1, , €15 / night after 2 guests, , 65, 37.1760220326908, -3.59422209579488, entire_home
66184, 3, 1, 1, 1, , €15 / night after 2 guests, , 65, 37.1753867098737, -3.59308184851568, entire_home
97718, 6, 1, 2, 6, , , €150 / night, 120, 37.1778775875743, -3.6047477458499, entire_home
